Month,Item,Purchase Qty,Sell Qty,Purchase Rate (₹),Selling Price (₹),Monthly Sales (₹),Total Cost price,Profit monthly,Profit/item,,,,Purchase Qty,Sell Qty,Purchase Rate (₹),Selling Price (₹),Monthly Sales (₹),Total Cost price,Profit monthly,Profit/item
Jan,Sugar,50,48,40,45,2160,1920,240,5,,,COUNT,67,67,67,67,67,67,67,67
Jan,Arhar,15,14,290,400,5600,4060,1540,110,,,MEAN,48.80597015,46.25373134,212.3880597,256.119403,10490.83582,8781.41791,1709.41791,43.73134328
Jan,Rice,80,75,135,150,11250,10125,1125,15,,,STD.,28.11084057,27.58202274,262.1969509,313.9645088,13181.45424,10649.60935,2901.097661,62.51559371
Jan,Wheat Flour,50,48,30,45,2160,1440,720,15,,,MIN,15,14,30,44,792,540,72,4
Jan,Cashew,30,28,900,1000,28000,25200,2800,100,,,25%,27.5,25.5,40,45,2160,1710,272.5,8
Jan,Almonds,25,23,860,950,21850,19780,2070,90,,,50%,40,38,135,150,5760,5130,720,15
Jan,Mustard Oil,100,95,150,160,15200,14250,950,10,,,75%,60,58,225,310,13040,10312.5,1970,95
Jan,Raisins,20,18,250,320,5760,4500,1260,70,,,MAX,150,145,900,1200,69600,52200,17400,300
Feb,Sugar,40,35,40,44,1540,1400,140,4,,,,,,,,,,,
Feb,Rice,50,45,135,145,6525,6075,450,10,,,,,,,,,,,
Feb,Wheat Flour,40,38,30,45,1710,1140,570,15,,,,,,,,,,,
Feb,Mustard Oil,70,65,150,155,10075,9750,325,5,,,,,,,,,,,
Mar,Sugar,60,58,40,48,2784,2320,464,8,,,,,,,,,,,
Mar,Arhar,20,19,290,410,7790,5510,2280,120,,,,,,,,,,,
Mar,Rice,100,98,135,155,15190,13230,1960,20,,,,,,,,,,,
Mar,Wheat Flour,80,78,30,50,3900,2340,1560,20,,,,,,,,,,,
Mar,Cashew,50,48,900,1200,57600,43200,14400,300,,,,,,,,,,,
Mar,Almonds,40,38,860,1000,38000,32680,5320,140,,,,,,,,,,,
Mar,Raisins,45,42,250,350,14700,10500,4200,100,,,,,,,,,,,
Mar,Mustard Oil,120,115,150,165,18975,17250,1725,15,,,,,,,,,,,
